ID,human_tag
62199,0
76123,0
78742,0
64010,0
17058,0
21905,0
78037,0
47695,1
63344,0
66093,0
70880,0
40665,0
72049,0
5880,0
20262,0
58611,0
29136,0
56887,1
50844,0
75647,0
31946,0
36266,0
24276,0
2805,0
2795,0
61921,0
67817,0
72187,0
6309,0
24693,0
13899,1
16984,0
46714,0
21962,0
6290,0
77946,0
69031,0
8876,0
61201,0
31750,1
1936,0
8632,0
70691,0
7685,0
2776,0
76554,0
54904,0
69638,0
77150,0
13391,0
6144,0
2679,0
19382,0
23890,1
41669,0
37288,0
72169,0
32357,0
73991,0
15148,0
43570,0
8139,0
39484,0
41161,1
69460,0
15829,0
56116,0
6934,0
38630,0
77874,0
25476,0
55482,1
64614,0
69981,0
18520,0
52172,0
23125,0
8911,0
48543,0
64624,0
37540,0
17998,0
26854,0
38839,0
27434,0
53841,0
61113,0
75339,0
39664,0
52093,0
51082,0
2671,0
77718,0
21336,0
29359,0
54753,0
2447,0
47126,0
66467,1
48257,0
43205,0
2603,0
32782,1
12846,0
46185,0
72977,0
25314,0
77081,0
34349,0
34344,0
62194,0
37682,0
78568,0
11773,0
9284,0
38031,0
47543,0
72612,0
30866,0
40867,0
57529,0
29354,0
16031,0
24887,0
4210,0
37016,0
65378,0
10299,1
40655,0
69701,0
28568,0
42713,0
47517,0
53854,0
42608,0
39567,0
70263,0
68922,0
15662,0
60700,0
51441,0
22143,0
29036,0
56288,1
68858,0
9665,0
30154,0
69621,0
52520,0
1271,0
73419,0
24917,0
45819,0
20048,0
53675,0
318,0
56508,0
22847,0
59963,0
47477,1
56144,0
77831,0
43135,0
42788,0
40912,0
39606,1
51409,0
41332,0
69573,0
45897,0
54057,0
4207,0
70639,0
56698,0
1186,0
49907,0
73440,0
52416,0
51626,0
11777,1
30068,0
59803,0
53237,0
7548,0
48433,0
23633,0
27961,1
29362,0
23756,0
69230,1
19420,0
35381,0
29687,0
41032,0
69922,0
36170,0
28873,1
75642,0
28905,0
51962,0
51505,0
76958,0
27959,1
32504,0
69125,0
70456,0
63652,0
69362,0
12983,0
73166,0
67934,0
62592,0
11752,0
8762,0
52636,0
64430,0
48833,0
44120,0
75826,0
10647,0
62391,1
47143,0
43942,0
20785,0
56113,0
35928,0
12089,0
74120,0
19101,0
68920,0
40408,0
36945,0
64274,0
5564,1
44934,0
16786,0
77226,0
53103,0
62291,0
59947,1
57960,0
76619,0
8102,0
10203,0
49867,1
5744,0
68470,0
23746,0
30431,0
73276,0
26682,0
8504,0
34603,0
50133,0
31076,1
602,1
49655,0
74420,0
70583,0
2825,0
70581,0
51199,0
32645,0
48598,0
27437,0
46893,0
59501,0
49334,0
58731,0
70322,0
62905,0
35918,0
44489,0
19870,0
70129,1
62084,0
24308,0
5342,0
52620,0
44083,0
15876,0
76285,0
69609,0
43958,0
28428,0
48473,0
71430,0
73533,0
52524,0
25597,0
25204,1
46148,1
10735,0
30980,0
66789,0
61760,0
71159,0
43383,0
58485,0
74255,0
69684,0
8526,0
11031,0
51449,1
16241,0
71599,0
15326,0
56659,0
40360,0
60962,0
40560,0
19348,1
78443,0
32499,0
10826,0
